name,season,number,airdate,rating,summary,image_url
Scared Very Straight,4,20,1994-02-09,0.0,"Despite an appeal from Rose, Andrea's parents refuse to support her decision to marry. Jesse makes one final plea, and the Zuckermans arrive at the civil ceremony at the last moment. David claims that he has cleaned up his act, but brings a junkie friend along on a Valentine's date with Donna. Dylan reminds David that he saved him from hitting the bottle after his father's funeral, and offers to help him in an emergency. David turns to Dylan after his dealer asks him to stash his drug supply from the cops. Dylan talks him into flushing the drugs just minutes before the police arrive. Steve hopes to move into Andrea's old room to escape the constant drinking binges at the KEG house. Brenda writes a scathing letter to Stuart when he fails to call her for a month. He surprises her on Valentine's Day, and explains that he had a project in South America.

Music: """"Hit by L",https://image.tmdb.org/t/p/original//4Svx9kxdJlbGRTszDPhtnSkaZ2d.jpg
Addicted to Love,4,21,1994-02-16,8.0,"Josh Richland tries to dig up dirt on Brandon for a newspaper article. Lucinda suggests that Brandon bring a date to task force functions to throw Josh off their trail. Brandon asks Kelly to accompany him to a party, with Dylan's permission. Kelly learns that Lucinda is struggling to obtain financing for her film, and introduces her to Dylan. Brenda joins Stuart for a weekend in Palm Springs, where he is to make a presentation to his father. They stop in the desert, but Brenda accidentally locks the keys in the car. Stuart continually lashes out at Brenda, especially after vandals break into his car when it is left overnight. Brenda finally becomes fed up and dumps Stuart. She calls Dylan for a ride home; during the drive, she confesses that she is still in love with him. David convinces Kelly to move back into the beach apartment.

Music: """"Me and Mrs. Jones"""" by Billy Paul (#1, 1972); """"Into Your Arms"""" by th",https://image.tmdb.org/t/p/original//uXX1J4R02t2xBpGaahosTMR7xIZ.jpg
Change Partners,4,22,1994-02-23,10.0,"Brandon and Kelly attend a weekend retreat. The chancellor's teenage daughter Clare develops a crush on Brandon. Brandon confesses his affair with Lucinda to Kelly. Brandon and Kelly realize they must discontinue the charade after they share a passionate kiss. Lucinda invites Dylan to her house to view her film, and makes a pass at him. Donna and Brenda befriend a stray dog, which they name Rocky. They learn that the animal escaped from the university's research lab, and are afraid to return him. Brenda takes an interest in an animal rights group that is protesting the lab. Andrea, who works at the facility, argues that the lab is researching potential medical breakthroughs. She returns the dog safely to Donna. Andrea is furious when Steve lets Muntz use her room for a rendezvous with his girlfriend. She fears that the resident advisor will kick her out, but Steve makes amends by sleeping with the woman.

Music: """"Get Closer"""" by Seals and Crofts (#6, 1976)",https://image.tmdb.org/t/p/original//rSTGyZfKindWrAc8l5WaHemLBF4.jpg
A Pig Is a Boy Is a Dog,4,23,1994-03-02,10.0,"Brenda and Donna attend an animal rights rally, and are crestfallen when the university refuses to suspend animal testing. After Rocky dies of cancer, Brenda becomes involved with a small group of radicals. She serves as lookout when the group breaks into the university research building, and tries in vain to save Andrea's lab (which does not harm animals in its testing). Brenda is arrested. Kelly and Brandon are furious when Dylan refuses to fund Lucinda's film. He finally tells Kelly that Lucinda came on to him. Brandon breaks up with Lucinda, and Kelly confesses her kiss with Brandon. Dylan races over to the Walsh house to fight Brandon, but the tension is defused when he accidentally punches Steve.",https://image.tmdb.org/t/p/original//5UKUCItWHDnKD1K9nfUcIzjvMGw.jpg
Cuffs and Links,4,24,1994-03-16,10.0,"Brenda calls Dylan from jail in the hopes of keeping her arrest a secret, but he is forced to tell her parents. Brenda's friends avoid her out of fear of being accessories after the fact, and Kelly acts especially bitchy because she is tired of Dylan coming to Brenda's rescue. Brenda faces felony charges, as her crime was a federal offense. An FBI agent who had gone undercover with the activists offers her immunity in exchange for her testimony. Kelly apologizes for shunning Brenda. Andrea gives Donna a healthy puppy (Rocky II) to take her mind off Rocky's death. Steve and his overbearing father, Rush, take on a baseball star and his dad in a father/son golf tournament. Steve catches his father cheating and forces him to complete the game honestly. Lucinda receives a grant for her movie and leaves the university. Josh threatens to expose Brandon's affair with Lucinda unless he endorses his campaign for student president. Brandon calls his bluff, and Josh eventually has second thoughts.",https://image.tmdb.org/t/p/original//zDLKSCMrstKV0Ie3YtHNdhS9Bw9.jpg
The Time Has Come Today,4,25,1994-03-23,9.0,"Caught in a funk, Brenda pretends that she is grounded and backs out of a ski trip with her friends. She finds a diary in her room that belonged to a previous resident. Brenda becomes fascinated by the girl's accounts of the political struggles and her own personal crises in the years 1968 and '69. She imagines herself, her family and her friends as the individuals described in the diary.

Music: """"Monday, Monday"""" by the Mamas and the Papas; """"These Boots Are Made for Walkin'"""" by Nancy Sinatra (#1, 1966); """"For What It's Worth"""" by Buffalo Springfield (#7, 1967); """"Let's Get Together"""" by The Youngbloods (#5, 1969); """"Time Has Come Today"""" by the Chambers Brothers (#11, 1968); """"Reach Out of the Darkness"""" by Friend and Lover (#10, 1968); """"Give Peace a Chance"""" (John Lennon and the Plastic Ono Band - #14, 1969), sung at rally; """"The Times They Are A-Changin'"""" by Bob Dylan; """"Wear Your Love Like Heaven"""" by Donov",https://image.tmdb.org/t/p/original//2BTXevZPfYelgVkUvz7Y8uvUWGI.jpg
Blind Spot,4,26,1994-04-06,8.0,"Brandon's car breaks down, and he and Steve step into a gay coffeehouse to call a tow truck. Mike Ryan, the president of Steve's fraternity, mistakenly believes that the duo is gay. He comes out to Steve, who feels uncomfortable with the situation. When some guys jokingly accuse Steve of being gay, he outs Mike. Mike decides to leave the house rather than face the homophobic members who want to oust him, but Steve encourages him to stand up for himself. David falls for his talented piano teacher, who is blind. Donna goes on a date with D'Shawn to make him jealous. David's teacher helps him learn to appreciate his relationship with Donna. Donna and Kelly convince the guys to appear in a beefcake calendar for charity.

Music: Mozart's Sonata in """"A"""" Major; """"Ain't That Peculiar?"""" by Marvin Gaye (#8, 1965); Schubert's Impromptus in """"E"""" Flat; """"I Can't Fight This Feeling"""" by REO Speedwagon (#1, 1985)",https://image.tmdb.org/t/p/original//emObY3dZR9E0cA5XELo6uRi7jJW.jpg
Divas,4,27,1994-04-20,10.0,"Acclaimed director Roy Randolph comes to C.U. to work on the campus production of Cat on a Hot Tin Roof. Brenda plans to try out for the lead role, and Kelly helps her rehearse. Brenda encourages Kelly to audition for a small part, but Roy asks her to read for the lead. Steve coaches Laura for her audition in the hopes that she can finally catch a break. Clare aggressively pursues Brandon. She shows up at his house while his parents are out of town and handcuffs herself to his bed. Dylan tries to convince Erica to be more receptive to her mother's new boyfriend, Kevin. Dylan saves Kevin from being struck by a bus. Andrea receives a clean bill of health, but still fears that something is wrong with her pregnancy. David chastises Donna for refusing to discipline her puppy.

Music: """"On Broadway"""" by George Benson (#7, 1978); """"Sweet Funky Thing"""" by Eternal",https://image.tmdb.org/t/p/original//eLiJVWjWfRNaMbknZJLrvKJc238.jpg
Acting Out,4,28,1994-04-27,10.0,"Brenda accuses Kelly of betraying her and refuses to speak to her. Kelly's relationship with Dylan is strained by the situation with Brenda and Kelly's disdain for Suzanne and Erica. Kelly drops out of the auditions because she does not want to be an actress. She and Brenda make up and admit their mutual jealousy. After witnessing Laura's brilliant performance, a nervous Brenda tanks her audition. She shows up at Roy Randolph's house that night in search of another chance. Clare tricks Brandon into taking her to the senior prom. At the after-party, she flashes and dumps beer on some guys before giving them the room number. Brandon winds up getting into a fight, and helps Clare clean up the trashed hotel room. Andrea continues to worry about the baby as Jesse leaves for an out-of-town trip. She collapses in pain, and Donna rushes her to the hospital. The doctor orders Andrea to stay in bed for the remainder of the pregnancy. Dylan becomes interested in environmental chemist Kevin's plan",https://image.tmdb.org/t/p/original//iaiCjOovtFrkoFAdZKOchXUSvW9.jpg
Truth and Consequences,4,29,1994-05-04,10.0,"Brenda wins the lead, much to the amazement of those who saw her audition. Steve starts a rumor that Brenda slept with Roy. Dylan is the only person who completely believes Brenda's denial. Laura causes Brenda to miss a rehearsal in an attempt to get her fired. When this fails, she asks Steve to injure Brenda. Roy kicks Laura out of the play. Steve and Brenda race to stop Laura from killing herself in the auditorium. Suzanne and Kevin get engaged, and Dylan learns more about Kevin's research. Kevin quits his job and decides to pitch the project to independent investors. Clare tries to tag along on Brandon's trip to Berkeley. Brandon tells the chancellor the truth about his daughter's behavior.

Music: """"Free Ride"""" by The Edgar Winter Group (#14, 1973)",https://image.tmdb.org/t/p/original//fT52e00HeS3s8sm3kwDpxZ17AF5.jpg
Vital Signs,4,30,1994-05-11,10.0,"Brenda receives rave reviews for her performance in Cat on a Hot Tin Roof. Dylan gives her a special present on opening night, and the two seem to have lingering feelings. Steve is reluctant to attend the play because of his rift with Brenda. Andrea learns that her baby may be born prematurely, and is forced to check into the hospital. She goes into labor. Donna tries to book singer Babyface for the campus Mardi Gras festival. David meets a record company employee who introduces him to a talented band. David declines an offer to join because the band members are drug users. Erica overhears Suzanne and Kevin discussing a move to South America, but they claim that she misunderstood. Dylan considers becoming Kevin's business partner. Kelly grows tired of Dylan's involvement with Suzanne, Erica and Kevin. She and Dylan decide to break up.

Music: """"Cantaloop (Flip Fantasia)"""" b",https://image.tmdb.org/t/p/original//kz5AruEUrFmJsgwuGtBlhYNIVvr.jpg
